-3.1e-08, 983.628, 22.0, 0.0, 1292.0, 1292.013, 3198.717, 3198.73, 0.403053, 0.002502, -0.01343, -323.0, -323.001, 676.2261, 676.2251, 0.464391, 0.003444, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 5.01317, 2.23e-11, 0.0, 0.0, 3.712327, 20.0, 3.720993, -0.09939, -0.09939, -0.00867, 3.720993, 0.0, 2000.0, 1997.636, 1997.636, 1997.636, 0.039394, -5.6115, -5.6115, -5.6115, 0.279563, 0.279563, 2.80e-06, 0.011609, -0.13069, 0.590431, -7.86847, 0.0, 8.019241, 0.0, 7.131531, 0.0, -7.98076, 0.0, -4.72099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 19.68828, 0.0, -4.72099, 0.0, -0.22099, 0.0, 190.985, 190.985
-4.2e-09, 983.628, 22.0, 0.0, 1292.0, 1292.008, 3198.717, 3198.73, 0.088232, 0.003341, -0.0083, -323.0, -323.006, 676.2261, 676.2201, -0.38813, 0.006035, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 9.179777, 5.79e-13, 0.0, 0.0, 3.503785, 20.0, 3.520981, -0.10315, -0.10315, -0.0172, 3.520981, 0.0, 2000.0, 2015.845, 2015.845, 2015.845, -0.223, -4.67883, -4.67883, -4.67883, 0.402269, 0.402269, 4.02e-06, 0.132357, -0.18147, 1.961924, -7.93362, 0.0, 7.975019, 0.0, 7.066375, 0.0, -8.02498, 0.0, -4.52098, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 19.12951, 0.0, -4.52098, 0.0, -0.02098, 0.0, 190.785, 190.785
6.09e-10, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.144497, 0.005285, 0.001709, -323.0, -323.001, 676.2261, 676.2251, -0.00467, 0.003511, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 11.43578, -1.5e-13, 0.0, 0.0, 3.295244, 20.0, 3.325989, -0.12863, -0.12863, -0.03575, 3.325989, 0.0, 2000.0, 2013.0, 2013.0, 2013.0, -0.0997, -4.67883, -4.67883, -4.67883, 0.533334, 0.533334, 5.33e-06, 0.09773, -0.02628, 5.291746, -7.94213, 0.0, 7.930481, 0.0, 7.057867, 0.0, -8.06952, 0.0, -4.33099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 17.30659, 0.0, -4.33099, 0.0, 0.169006, 0.0, 190.59, 190.59
-5.4e-11, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.082151, 0.005315, 0.001709, -323.0, -323.006, 676.2261, 676.2201, -0.0812, 0.006035, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 14.11504, 1.56e-14, 0.0, 0.0, 3.086702, 20.0, 3.085983, -0.09972, -0.09972, -0.00429, 3.085983, 0.0, 2000.0, 1996.308, 1996.308, 1996.308, 0.045715, -4.03314, -4.03314, -4.03314, 0.675415, 0.675415, 6.75e-06, 0.042187, 0.05429, 9.083468, -7.97819, 0.0, 7.903548, 0.0, 7.021805, 0.0, -8.09645, 0.0, -4.09099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 13.914, 0.0, -4.09099, 0.0, 0.409012, 0.0, 190.35, 190.35
3.98e-12, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.080303, 0.005345, 0.001709, -323.0, -323.001, 676.2261, 676.2251, 0.007018, 0.003572, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 15.08978, -1.2e-15, 0.0, 0.0, 2.87816, 20.0, 2.865982, -0.09248, -0.09248, 0.012178, 2.865982, 0.0, 2000.0, 2011.483, 2011.483, 2011.483, -0.20403, -2.3113, -2.3113, -2.3113, 0.778367, 0.778367, 7.78e-06, 0.077071, 0.055947, 11.6677, -7.98092, 0.0, 7.904361, 0.0, 7.019079, 0.0, -8.09564, 0.0, -3.86598, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 10.45088, 0.0, -3.86598, 0.0, 0.634018, 0.0, 190.125, 190.125
-2.5e-13, 983.628, 22.0, 0.0, 1292.0, 1291.993, 3198.717, 3198.71, 0.10115, 0.006352, 0.006592, -323.0, -323.001, 676.2261, 676.2251, 0.155269, 0.003651, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 14.57285, 8.16e-17, 0.0, 0.0, 2.669619, 20.0, 2.635986, -0.08493, -0.08493, 0.028627, 2.635986, 0.0, 2000.0, 2012.431, 2012.431, 2012.431, -0.20719, -1.37864, -1.37864, -1.37864, 0.852067, 0.852067, 8.52e-06, 0.081822, 0.070061, 13.77335, -8.01293, 0.0, 7.902649, 0.0, 6.987073, 0.0, -8.09735, 0.0, -3.64099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 7.923452, 0.0, -3.64099, 0.0, 0.859009, 0.0, 189.9, 189.9
1.39e-14, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.05456, 0.005408, 0.001709, -323.0, -322.996, 676.2261, 676.23, 0.212598, 0.001246, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 13.46565, -4.8e-18, 0.0, 0.0, 2.461077, 20.0, 2.42099, -0.07681, -0.07681, 0.040087, 2.42099, 0.0, 2000.0, 2005.982, 2005.982, 2005.982, 0.067844, -2.16782, -2.16782, -2.16782, 0.890436, 0.890436, 8.90e-06, 0.042783, 0.078363, 15.00925, -8.0397, 0.0, 7.918149, 0.0, 6.960298, 0.0, -8.08185, 0.0, -3.42099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 5.986878, 0.0, -3.42099, 0.0, 1.07901, 0.0, 189.685, 189.685
-6.4e-16, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.030306, 0.00544, 0.001709, -323.0, -323.001, 676.2261, 676.2251, 0.09516, 0.003817, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 12.2833, 2.37e-19, 0.0, 0.0, 2.252535, 20.0, 2.210983, -0.07481, -0.07481, 0.041552, 2.210983, 0.0, 2000.0, 1998.774, 1998.774, 1998.774, -0.19138, -2.38305, -2.38305, -2.38305, 0.942862, 0.942862, 9.43e-06, 0.02932, 0.084137, 14.56169, -8.03864, 0.0, 7.937235, 0.0, 6.961362, 0.0, -8.06276, 0.0, -3.21098, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 5.140801, 0.0, -3.21098, 0.0, 1.289017, 0.0, 189.47, 189.47
2.04e-17, 983.628, 22.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.033392, 0.004405, -0.00342, -323.0, -323.011, 676.2261, 676.2151, -0.09491, 0.008951, 0.011108, 7.63e-06, 7.63e-06, 187.264, 187.264, 11.44606, -9.2e-21, 0.0, 0.0, 2.043994, 20.0, 1.995987, -0.06569, -0.06569, 0.048007, 1.995987, 0.0, 2000.0, 2009.965, 2009.965, 2009.965, -0.21035, -2.81351, -2.81351, -2.81351, 1.008204, 1.008204, 1.01e-05, 0.019723, 0.064125, 13.43293, -8.00444, 0.0, 7.937433, 0.0, 6.99556, 0.0, -8.06257, 0.0, -2.99599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 5.692061, 0.0, -2.99599, 0.0, 1.504013, 0.0, 189.255, 189.255
9.43e-20, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.04167, 0.005402, 0.001709, -323.0, -323.016, 676.2261, 676.21, -0.2689, 0.011588, 0.016113, 7.63e-06, 7.63e-06, 187.264, 187.264, 10.59157, 1.47e-22, 0.0, 0.0, 1.835452, 20.0, 1.785996, -0.06794, -0.06794, 0.044467, 1.785996, 0.0, 2000.0, 2012.052, 2012.052, 2012.052, -0.01119, -1.37864, -1.37864, -1.37864, 1.082664, 1.082664, 1.08e-05, 0.032433, 0.04714, 12.37073, -7.96317, 0.0, 7.940832, 0.0, 7.036833, 0.0, -8.05917, 0.0, -2.79099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 6.775889, 0.0, -2.79099, 0.0, 1.709015, 0.0, 189.05, 189.05
-9.0e-20, 983.628, 22.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.091069, 0.004326, -0.00342, -323.0, -323.011, 676.2261, 676.2151, -0.32653, 0.009192, 0.011108, 7.63e-06, 7.63e-06, 187.264, 187.264, 9.69406, 1.84e-23, 0.0, 0.0, 1.62691, 20.0, 1.585983, -0.07518, -0.07518, 0.035922, 1.585983, 0.0, 2000.0, 1995.549, 1995.549, 1995.549, 0.039394, -1.73736, -1.73736, -1.73736, 1.141168, 1.141168, 1.14e-05, 0.07022, 0.027399, 11.43729, -7.94441, 0.0, 7.962145, 0.0, 7.055591, 0.0, -8.03786, 0.0, -2.59099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 7.815827, 0.0, -2.59099, 0.0, 1.909012, 0.0, 188.85, 188.85
1.01e-20, 983.628, 22.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.079457, 0.004226, -0.00342, -323.0, -323.011, 676.2261, 676.2151, -0.42798, 0.009277, 0.011108, 7.63e-06, 7.63e-06, 187.264, 187.264, 9.087822, -2.7e-24, 0.0, 0.0, 1.418369, 20.0, 1.385986, -0.07957, -0.07957, 0.027377, 1.385986, 0.0, 2000.0, 1995.739, 1995.739, 1995.739, 0.03307, -0.66121, -0.66121, -0.66121, 1.179157, 1.179157, 1.18e-05, 0.071119, -0.01517, 10.68372, -7.93555, 0.0, 7.962433, 0.0, 7.06445, 0.0, -8.03757, 0.0, -2.39099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 8.703972, 0.0, -2.39099, 0.0, 2.109009, 0.0, 188.65, 188.65
-8.3e-22, 983.628, 22.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.143415, 0.004141, -0.00342, -323.0, -323.011, 676.2261, 676.2151, -0.46405, 0.00939, 0.011108, 7.63e-06, 7.63e-06, 187.264, 187.264, 8.667588, 2.44e-25, 0.0, 0.0, 1.209827, 20.0, 1.180985, -0.0801, -0.0801, 0.023838, 1.180985, 0.0, 2000.0, 1998.585, 1998.585, 1998.585, -0.0997, -0.30249, -0.30249, -0.30249, 1.20499, 1.20499, 1.20e-05, 0.049528, -0.01599, 9.822694, -7.89554, 0.0, 7.939037, 0.0, 7.10446, 0.0, -8.06096, 0.0, -2.18599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 9.493154, 0.0, -2.18599, 0.0, 2.314011, 0.0, 188.445, 188.445
5.70e-23, 983.628, 22.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.047944, 0.004104, -0.00342, -323.0, -323.001, 676.2261, 676.2251, -0.27871, 0.004452, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 8.366436, -1.8e-26, 0.0, 0.0, 1.001285, 20.0, 0.975983, -0.0818, -0.0818, 0.020298, 0.975983, 0.0, 2000.0, 2014.328, 2014.328, 2014.328, -0.223, -0.44598, -0.44598, -0.44598, 1.248678, 1.248678, 1.25e-05, 0.092836, -0.00584, 9.017323, -7.86029, 0.0, 7.946098, 0.0, 7.139708, 0.0, -8.0539, 0.0, -1.98099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 10.34326, 0.0, -1.98099, 0.0, 2.519012, 0.0, 188.24, 188.24
-3.4e-24, 983.628, 22.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.046638, 0.004045, -0.00342, -323.0, -322.996, 676.2261, 676.235, 0.119571, 0.002053, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 7.891611, 1.13e-27, 0.0, 0.0, 0.792744, 20.0, 0.770981, -0.08125, -0.08125, 0.021763, 0.770981, 0.0, 2000.0, 1996.498, 1996.498, 1996.498, 0.048878, -0.73295, -0.73295, -0.73295, 1.359988, 1.359988, 1.36e-05, 0.146951, -0.05334, 8.578612, -7.85597, 0.0, 7.956218, 0.0, 7.144026, 0.0, -8.04378, 0.0, -1.77098, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 11.05814, 0.0, -1.77098, 0.0, 2.729019, 0.0, 188.03, 188.03
1.78e-25, 983.628, 22.0, 0.0, 1292.0, 1292.008, 3198.717, 3198.725, 0.13944, 0.002987, -0.0083, -323.0, -322.986, 676.2261, 676.24, 0.60529, -0.00295, -0.01385, 7.63e-06, 7.63e-06, 187.264, 187.264, 7.328427, -6.3e-29, 0.0, 0.0, 0.584202, 20.0, 0.560989, -0.08418, -0.08418, 0.018208, 0.560989, 0.0, 2000.0, 1997.636, 1997.636, 1997.636, -0.20403, 0.701916, 0.701916, 0.701916, 1.460281, 1.460281, 1.46e-05, 0.130426, -0.06985, 8.301166, -7.92143, 0.0, 7.946779, 0.0, 7.078575, 0.0, -8.05322, 0.0, -1.56599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 11.46996, 0.0, -1.56599, 0.0, 2.934006, 0.0, 187.825, 187.825
-7.4e-27, 983.628, 22.0, 0.0, 1292.0, 1292.008, 3198.717, 3198.72, 0.125406, 0.002872, -0.0083, -323.0, -322.991, 676.2261, 676.235, 0.323152, -0.0004, -0.00885, 7.63e-06, 7.63e-06, 187.264, 187.264, 7.257728, 2.89e-30, 0.0, 0.0, 0.37566, 20.0, 0.360992, -0.08833, -0.08833, 0.009678, 0.360992, 0.0, 2000.0, 2005.603, 2005.603, 2005.603, 0.055202, 1.921551, 1.921551, 1.921551, 1.550696, 1.550696, 1.55e-05, 0.107093, -0.02722, 7.878095, -7.9802, 0.0, 7.880332, 0.0, 7.019798, 0.0, -8.11967, 0.0, -1.36598, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 11.78689, 0.0, -1.36598, 0.0, 3.134018, 0.0, 187.625, 187.625
1.72e-28, 983.628, 22.0, 0.0, 1292.0, 1292.008, 3198.717, 3198.725, -0.05418, 0.002806, -0.0083, -323.0, -322.996, 676.2261, 676.23, 0.134337, 0.002208, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 7.461914, -9.4e-32, 0.0, 0.0, 0.167119, 20.0, 0.155991, -0.0842, -0.0842, 0.011128, 0.155991, 0.0, 2000.0, 1998.774, 1998.774, 1998.774, -0.22615, 3.499905, 3.499905, 3.499905, 1.658207, 1.658207, 1.66e-05, 0.086213, 0.060461, 7.326282, -7.89722, 0.0, 7.891106, 0.0, 7.102776, 0.0, -8.10889, 0.0, -1.15599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 12.24294, 0.0, -1.15599, 0.0, 3.34401, 0.0, 187.42, 187.42
8.63e-30, 983.628, 22.0, 0.0, 1292.0, 1292.018, 3198.717, 3198.735, 0.808898, 0.000777, -0.01831, -323.0, -322.991, 676.2261, 676.235, 0.701266, -0.00055, -0.00885, 7.63e-06, 7.63e-06, 187.264, 187.264, 7.654909, -3.0e-34, 0.0, 0.0, -0.04142, 20.0, -0.04901, -0.08768, -0.08768, 0.007588, -0.04901, 0.0, 2000.0, 1995.929, 1995.929, 1995.929, 0.026745, 4.863028, 4.863028, 4.863028, 1.838657, 1.838657, 1.84e-05, 0.175916, 0.054403, 7.090594, -8.14633, 0.0, 8.028504, 0.0, 6.85367, 0.0, -7.9715, 0.0, -0.95099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 12.71578, 0.0, -0.95099, 0.0, 3.549011, 0.0, 187.21, 187.21
-1.7e-30, 983.628, 22.0, 0.0, 1292.0, 1291.993, 3198.717, 3198.71, -0.07437, 0.005719, 0.006592, -323.0, -322.991, 676.2261, 676.235, 0.761867, -0.00044, -0.00885, 7.63e-06, 7.63e-06, 187.264, 187.264, 9.127693, 3.98e-34, 0.0, 0.0, -0.24996, 20.0, -0.25401, -0.08986, -0.08986, -0.00096, -0.25401, 0.0, 2000.0, 2013.19, 2013.19, 2013.19, -0.04596, 6.513125, 6.513125, 6.513125, 2.08597, 2.08597, 2.09e-05, 0.067848, -0.06627, 7.315223, -8.28422, 0.0, 7.880237, 0.0, 6.715782, 0.0, -8.11976, 0.0, -0.75099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 12.84917, 0.0, -0.75099, 0.0, 3.749008, 0.0, 187.01, 187.01
1.61e-31, 983.628, 22.0, 0.0, 1292.0, 1291.988, 3198.717, 3198.705, 0.145675, 0.006788, 0.011719, -323.0, -322.996, 676.2261, 676.2251, 0.389536, 0.002119, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 10.85196, -4.5e-35, 0.0, 0.0, -0.45446, 20.0, -0.44402, -0.08899, -0.08899, -0.01045, -0.44402, 0.0, 2000.0, 1998.774, 1998.774, 1998.774, -0.06809, 7.158816, 7.158816, 7.158816, 2.334802, 2.334802, 2.33e-05, -0.22375, 0.314045, 7.850894, -8.11697, 0.0, 7.679728, 0.0, 6.883026, 0.0, -8.32027, 0.0, -0.55598, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 12.57776, 0.0, -0.55598, 0.0, 3.944016, 0.0, 186.82, 186.82
-1.2e-32, 983.628, 22.0, 0.0, 1292.0, 1291.988, 3198.717, 3198.705, -0.11171, 0.006914, 0.011719, -323.0, -323.011, 676.2261, 676.2151, 0.014301, 0.009677, 0.011108, 7.63e-06, 7.63e-06, 187.264, 187.264, 12.54092, 3.71e-36, 0.0, 0.0, -0.60751, 20.0, -0.59901, -0.06408, -0.06408, -0.0085, -0.59901, 0.0, 2000.0, 1997.636, 1997.636, 1997.636, -0.21983, 5.508717, 5.508717, 5.508717, 2.508035, 2.508035, 2.51e-05, 0.03028, 0.443305, 9.103791, -8.09085, 0.0, 7.757908, 0.0, 6.909152, 0.0, -8.24209, 0.0, -0.40099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 11.88174, 0.0, -0.40099, 0.0, 4.099014, 0.0, 186.665, 186.665
8.00e-34, 983.628, 22.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.201971, 0.004877, 0.001709, -323.0, -323.011, 676.2261, 676.2151, -0.15682, 0.009713, 0.011108, 7.63e-06, 7.63e-06, 187.264, 187.264, 13.53596, -2.6e-37, 0.0, 0.0, -0.69545, 20.0, -0.70401, -0.03082, -0.03082, 0.008557, -0.70401, 0.0, 2000.0, 2011.862, 2011.862, 2011.862, -0.19455, 7.3023, 7.3023, 7.3023, 2.573757, 2.573757, 2.57e-05, 0.184272, 0.164239, 10.84229, -8.06994, 0.0, 7.756859, 0.0, 6.930059, 0.0, -8.24314, 0.0, -0.29599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 10.52592, 0.0, -0.29599, 0.0, 4.20401, 0.0, 186.56, 186.56
10.82151, 983.628, 28.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.356666, 0.004784, 0.001709, -323.002, -323.021, 676.2242, 676.205, -0.77029, 0.00698, 0.019165, 7.63e-06, 7.63e-06, 187.264, 187.264, 13.48646, 1.54e-38, 0.0, 0.0, -0.73894, 13.55447, -0.74402, -0.0197, -0.0197, 0.005077, -0.74402, 0.0, 2011.133, 1998.964, 1998.964, 1998.964, -0.03773, 14.83535, 14.83535, 14.83535, 2.546405, 2.546405, 2.55e-05, 0.052048, 0.171428, 12.42566, -7.96459, 0.0, 7.599908, 0.0, 7.035407, 0.0, -8.40009, 0.0, -0.25598, 0.0, 0.0, 0.0, 3704.178, 0.0, 1513.178, 0.0, 2.404581, 0.0, -0.25598, 0.0, 4.244018, 0.0, 186.52, 186.52
80.42371, 983.6773, 28.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 0.396235, 0.003699, -0.00342, -323.116, -323.101, 676.1101, 676.125, -0.47555, -0.09668, -0.01483, 7.63e-06, 7.63e-06, 187.264, 187.264, 12.93564, -8.0e-40, 0.0, 0.0, -0.7379, 13.55447, -0.76401, -0.00181, -0.00181, 0.026107, -0.76401, 0.0, 2086.133, 2090.58, 2090.58, 2090.58, 0.118443, 39.51505, 39.51505, 39.51505, 4.919997, 4.919997, 4.92e-05, 0.191171, 0.324756, 13.59654, -7.81093, 0.0, 7.562346, 0.0, 7.189069, 0.0, -8.43765, 0.0, -0.23599, 0.0, 0.0, 0.0, 3634.576, 0.0, 1443.576, 0.0, 0.893639, 0.0, -0.23599, 0.0, 4.264008, 0.0, 186.5, 186.5
296.6325, 983.8958, 28.0, 0.0, 1292.0, 1291.998, 3198.717, 3198.715, 0.604478, 0.004702, 0.001709, -323.406, -323.366, 675.8204, 675.86, 0.341193, -0.1959, -0.03955, 7.63e-06, 7.63e-06, 187.264, 187.264, 12.20508, 3.37e-41, 0.0, 0.0, -0.73686, 13.55447, -0.76401, -0.00119, -0.00119, 0.027148, -0.76401, 0.0, 2161.133, 2167.4, 2167.4, 2167.4, -0.01939, 31.26456, 31.26456, 31.26456, 6.30168, 6.30168, 6.30e-05, 0.510457, 0.181295, 13.58511, -7.97641, 0.0, 7.548673, 0.0, 7.02359, 0.0, -8.45133, 0.0, -0.23599, 0.0, 0.0, 0.0, 3418.368, 0.0, 1227.368, 0.0, -0.00183, 0.0, -0.23599, 0.0, 4.264008, 0.0, 186.5, 186.5
467.3976, 984.2905, 28.0, 0.0, 1292.0, 1292.003, 3198.717, 3198.72, 1.032586, 0.003758, -0.00317, -323.871, -323.826, 675.3548, 675.395, 0.971559, -0.28574, -0.04517, 7.63e-06, 7.63e-06, 187.264, 187.264, 11.52126, -8.0e-43, 0.0, 0.0, -0.73582, 13.55447, -0.75902, -0.00315, -0.00315, 0.023201, -0.75902, 0.0, 2236.133, 2244.6, 2244.6, 2244.6, 0.004009, 32.12548, 32.12548, 32.12548, 6.817579, 6.817579, 6.82e-05, 0.493419, 0.007031, 12.8924, -8.36566, 0.0, 7.339191, 0.0, 6.634341, 0.0, -8.66081, 0.0, -0.24098, 0.0, 0.0, 0.0, 3247.603, 0.0, 1056.602, 0.0, 0.139051, 0.0, -0.24098, 0.0, 4.259018, 0.0, 186.505, 186.505
621.8022, 984.861, 28.0, 0.0, 1292.0, 1292.008, 3198.717, 3198.725, 1.438871, 0.002653, -0.00806, -324.513, -324.496, 674.7136, 674.715, 0.542575, -0.35821, -0.01642, 7.63e-06, 7.63e-06, 187.264, 187.264, 10.94858, -3.6e-44, 0.0, 0.0, -0.73478, 13.55447, -0.77901, 0.017308, 0.017308, 0.044231, -0.77901, 0.0, 2311.133, 2313.834, 2313.834, 2313.834, 0.036896, 32.12548, 32.12548, 32.12548, 7.245342, 7.245342, 7.25e-05, 0.630116, -0.0743, 12.27207, -8.7751, 0.0, 6.958083, 0.0, 6.224903, 0.0, -9.04192, 0.0, -0.22099, 0.0, 0.0, 0.0, 3093.198, 0.0, 902.1978, 0.0, 0.779084, 0.0, -0.22099, 0.0, 4.279007, 0.0, 186.485, 186.485
820.3523, 985.6073, 28.0, 0.0, 1292.0, 1292.023, 3198.717, 3198.745, 2.189216, -0.00078, -0.02295, -325.33, -325.311, 673.8964, 673.915, 0.961654, -0.44614, -0.01862, 7.63e-06, 7.63e-06, 187.264, 187.264, 9.58351, 7.01e-45, 0.0, 0.0, -0.73373, 13.55447, -0.77402, 0.008274, 0.008274, 0.040283, -0.77402, 0.0, 2386.133, 2382.119, 2382.119, 2382.119, 0.098232, 27.89263, 27.89263, 27.89263, 7.47708, 7.47708, 7.48e-05, 1.044664, -0.60857, 11.56003, -9.10928, 0.0, 6.447413, 0.0, 5.890722, 0.0, -9.55259, 0.0, -0.22598, 0.0, 0.0, 0.0, 2894.648, 0.0, 703.6478, 0.0, 1.431117, 0.0, -0.22598, 0.0, 4.274017, 0.0, 186.49, 186.49
975.0115, 986.5292, 28.0, 0.0, 1292.0, 1292.018, 3198.717, 3198.735, 2.516603, -8.8e-05, -0.01782, -326.323, -326.306, 672.9035, 672.92, 1.290963, -0.53185, -0.01642, 7.63e-06, 7.63e-06, 187.264, 187.264, 9.332883, -1.4e-44, 0.0, 0.0, -0.73269, 13.55447, -0.75401, -0.00231, -0.00231, 0.021321, -0.75401, 0.0, 2461.133, 2468.613, 2468.613, 2468.613, -0.09967, 29.39924, 29.39924, 29.39924, 7.637396, 7.637396, 7.64e-05, 1.190441, -1.47321, 10.93802, -9.40465, 0.0, 5.975923, 0.0, 5.59535, 0.0, -10.0241, 0.0, -0.24599, 0.0, 0.0, 0.0, 2739.988, 0.0, 548.9884, 0.0, 2.116399, 0.0, -0.24599, 0.0, 4.254013, 0.0, 186.51, 186.51
1140.127, 987.6271, 28.0, 0.0, 1292.0, 1292.008, 3198.717, 3198.725, 2.704408, 0.001727, -0.00757, -327.491, -327.451, 671.7349, 671.755, 2.020638, -0.63052, -0.04016, 7.63e-06, 7.63e-06, 187.264, 187.264, 8.960662, -1.5e-44, 0.0, 0.0, -0.73165, 13.55447, -0.75401, 0.001056, 0.001056, 0.022362, -0.75401, 0.0, 2536.133, 2529.88, 2529.88, 2529.88, -0.00039, 29.8297, 29.8297, 29.8297, 8.015014, 8.015014, 8.02e-05, 1.221356, -2.17189, 10.20132, -9.55541, 0.0, 5.584623, 0.0, 5.444587, 0.0, -10.4154, 0.0, -0.24599, 0.0, 0.0, 0.0, 2574.873, 0.0, 383.873, 0.0, 2.76148, 0.0, -0.24599, 0.0, 4.254013, 0.0, 186.51, 186.51
1322.974, 988.9007, 28.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, 2.270187, 0.003718, 0.002686, -328.836, -328.816, 670.3904, 670.395, 1.479666, -0.70698, -0.01959, 7.63e-06, 7.63e-06, 187.264, 187.264, 10.31354, -1.5e-44, 0.0, 0.0, -0.73061, 13.55447, -0.73401, -0.00451, -0.00451, 0.0034, -0.73401, 0.0, 2611.133, 2615.236, 2615.236, 2615.236, 0.007202, 26.67299, 26.67299, 26.67299, 8.239532, 8.239532, 8.24e-05, 1.321064, -2.571, 9.345405, -9.67672, 0.0, 5.388045, 0.0, 5.323284, 0.0, -10.612, 0.0, -0.26599, 0.0, 0.0, 0.0, 2392.026, 0.0, 201.0261, 0.0, 3.544012, 0.0, -0.26599, 0.0, 4.234009, 0.0, 186.53, 186.53
1460.021, 990.35, 28.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, 2.610331, 0.003809, 0.00293, -330.356, -330.341, 668.8702, 668.885, 2.307537, -0.79145, -0.01483, 7.63e-06, 7.63e-06, 187.264, 187.264, 7.974191, -1.5e-44, 0.0, 0.0, -0.72957, 13.55447, -0.74402, -0.00843, -0.00843, 0.019441, -0.74402, 0.0, 2686.133, 2683.9, 2683.9, 2683.9, -0.0674, 27.24694, 27.24694, 27.24694, 8.129742, 8.129742, 8.13e-05, 1.476888, -2.75345, 9.177033, -10.1184, 0.0, 5.442436, 0.0, 4.881554, 0.0, -10.5576, 0.0, -0.25099, 0.0, 0.0, 0.0, 2254.979, 0.0, 63.97923, 0.0, 4.218485, 0.0, -0.25099, 0.0, 4.249008, 0.0, 186.52, 186.52
